gene,tau,kidney_rank_pct,n_comparisons_significant,direction_consistency,mean_abs_log2FC
GATM,0.9191166857141834,0.8703703703703703,5,0.8,2.1594
SLC6A8,0.5772252715380378,0.7777777777777778,4,0.5,0.7117500000000001
IGF1,0.8412383668125619,0.2777777777777778,4,0.75,0.57225
AKT2,0.6175669170606976,0.4259259259259259,4,0.5,0.58825
SLC2A4,0.9015151454273672,0.3888888888888889,3,1.0,0.6553333333333333
PRPS1,0.6065911190258884,0.1296296296296296,3,0.6666666666666666,0.6803333333333333
PSMD3,0.5206518386663594,0.2037037037037037,2,1.0,0.438
SGK1,0.7925911188141472,0.5925925925925926,2,1.0,0.4659999999999999
CKMT2,0.9648726313431836,0.7407407407407407,2,1.0,1.176
AKT1,0.4580051343037999,0.2962962962962963,2,1.0,0.3845
PSMB5,0.6000717732575898,0.2592592592592592,2,0.5,0.539
AKT3,0.6770336490412382,0.2592592592592592,2,0.5,0.4575
CKB,0.7262134457100541,0.4074074074074074,1,1.0,0.355
CKM,0.9957396948325992,0.0925925925925925,0,,
CKMT1A,0.8865252612597498,0.5370370370370371,0,,
CKMT1B,0.959965828958977,0.5370370370370371,0,,
SLC16A12,0.91374626851094,0.9444444444444444,0,,
