gene,n_tissues,tau,kidney_mean_tpm,max_tissue,max_tpm,kidney_rank_pct
CKM,54,0.9957396948325993,1.2414325,Muscle_Skeletal,25785.6,0.09259259259259259
CKMT2,54,0.9648726313431835,10.8118,Heart_Left_Ventricle,652.362,0.7407407407407407
CKMT1B,54,0.959965828958977,1.422155,Brain_Cerebellum,276.95,0.5370370370370371
GATM,54,0.9191166857141834,98.50075000000001,Pancreas,589.456,0.8703703703703703
SLC16A12,54,0.91374626851094,10.99745,Nerve_Tibial,22.2157,0.9444444444444444
SLC2A4,54,0.9015151454273673,2.00344,Muscle_Skeletal,148.579,0.3888888888888889
CKMT1A,54,0.8865252612597498,0.9725199999999999,Brain_Cerebellar_Hemisphere,29.0557,0.5370370370370371
IGF1,54,0.8412383668125619,0.44697,Cervix_Endocervix,46.6588,0.2777777777777778
SGK1,54,0.7925911188141472,28.610349999999997,Ovary,140.727,0.5925925925925926
CKB,54,0.7262134457100541,230.03949999999998,Brain_Cerebellum,1768.49,0.4074074074074074
AKT3,54,0.6770336490412382,10.150555,Artery_Tibial,62.9439,0.25925925925925924
AKT2,54,0.6175669170606976,33.66445,Thyroid,92.6826,0.42592592592592593
PRPS1,54,0.6065911190258884,17.11115,Cells_EBV-transformed_lymphocytes,78.0463,0.12962962962962962
PSMB5,54,0.6000717732575898,65.7102,Cells_Cultured_fibroblasts,196.452,0.25925925925925924
SLC6A8,54,0.5772252715380378,54.7466,Colon_Sigmoid,88.7813,0.7777777777777778
PSMD3,54,0.5206518386663594,57.832350000000005,Muscle_Skeletal,190.498,0.2037037037037037
AKT1,54,0.45800513430379997,31.38805,Artery_Aorta,88.7644,0.2962962962962963
