# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
ckb	1,2-Dimethylhydrazine	D019813	540-73-8	CKB	1152	Mus musculus	10090	22206623
ckb	16-hydroxyestrone	C026702	18186-49-7	CKB	1152	Rattus norvegicus	10116	10030690
ckb	1-bromopropane	C118559	106-94-5	CKB	1152	Rattus norvegicus	10116	21925529
ckb	1-Methyl-3-isobutylxanthine	D015056	28822-58-4	CKB	1152	Homo sapiens	9606	28628672
ckb	1-oleoyl-2-acetylglycerol	C038237	86390-77-4	CKB	1152			2822142
ckb	2,2',4,4',5-brominated diphenyl ether	C477694		CKB	1152	Rattus norvegicus	10116	19954255
ckb	2,3',4,4',5-pentachlorobiphenyl	C070055		CKB	1152	Mus musculus	10090	31388691
ckb	2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine	D015647	67287-49-4	CKB	1152	Meriones unguiculatus	10047	25852303
ckb	2,3,7,8-tetrachlorodibenzofuran	C014211	51207-31-9	CKB	1152	Rattus norvegicus	10116	32109520
ckb	2,5,2',5'-tetrachlorobiphenyl	C009407	35693-99-3	CKB	1152	Homo sapiens	9606	36804509
ckb	2,6-dinitrotoluene	C023514	606-20-2	CKB	1152	Colinus virginianus	9014	20406850
ckb	2-hydroxyestradiol	C001390	362-05-0	CKB	1152	Rattus norvegicus	10116	10030690
ckb	2-hydroxyestrone	C024980	362-06-1	CKB	1152	Rattus norvegicus	10116	10030690
ckb	3-methyladenine	C025946	5142-23-4	CKB	1152	Rattus norvegicus	10116	31419397
ckb	4-(4-((5-(4,5-dimethyl-2-nitrophenyl)-2-furanyl)methylene)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)benzoic acid	C584509		CKB	1152	Homo sapiens	9606	26191083
ckb	4,4'-hexafluorisopropylidene diphenol	C583074		CKB	1152	Homo sapiens	9606	34186270
ckb	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		CKB	1152	Homo sapiens	9606	27188386
ckb	4-oxoretinoic acid	C002202	38030-57-8	CKB	1152	Homo sapiens	9606	15982314
ckb	acetamide	C030686	60-35-5	CKB	1152	Rattus norvegicus	10116	31881176
ckb	Acetaminophen	D000082	103-90-2	CKB	1152	Mus musculus	10090	17562736
ckb	Acetaminophen	D000082	103-90-2	CKB	1152	Rattus norvegicus	10116	19688255|33387578
ckb	Acetylcysteine	D000111	616-91-1	CKB	1152	Rattus norvegicus	10116	19688255
ckb	Acrylamide	D020106	79-06-1	CKB	1152	Mus musculus	10090	15038071|35032568
ckb	Acrylamide	D020106	79-06-1	CKB	1152	Rattus norvegicus	10116	15038071
